D0001,S167,627,627,3,E1710
D0001,B0499,628,638,-3,E1710
D0002,S143,342,342,2,E1606
D0002,B5905,343,352,-2,E1606
D0003,S210,427,427,2,E1912
D0003,B5370,430,439,-2,E1912
D0004,S348,272,272,2,E2746
D0004,B2032,275,284,-2,E2746
D0005,S140,276,276,3,E1586
D0005,B0813,278,288,-3,E1586
D0018,S348,304,304,1,E2748
D0006,B9159,619,627,-1,E2350
D0007,S283,220,220,2,E2377
D0007,B1897,222,231,-2,E2377
D0008,S291,550,550,4,E2410
D0008,B9159,552,563,-4,E2410
D0009,S143,236,236,3,E1609
D0009,B6472,238,248,-3,E1609
D0010,S143,627,627,7,E1604
D0010,B6472,238,248,-3,E1609
D0038,B6472,238,248,-3,E1609
D0011,B4943,293,303,-3,E1605
D0012,S331,626,626,1,E2573
D0012,B1553,627,635,-1,E2573
D0013,S146,614,614,2,E1617
D0013,B5905,614,623,-2,E1617
D0014,S143,335,335,2,E1602
D0014,B1858,339,348,-2,E1602
D0015,S283,220,220,2,E2377
D0015,B1897,222,231,-2,E2377
D0016,S210,427,427,2,E1912
D0016,B5370,430,439,-2,E1912
D0017,S348,272,272,2,E2746
D0017,B2032,275,284,-2,E2746
D0018,S348,304,304,1,E2748
D0018,B2194,307,315,-1,E2748
D0019,S275,320,320,2,E2347
D0019,B1897,325,334,-2,E2347
D0020,S139,313,313,2,E1584
D0020,B4527,329,338,-2,E1584
D0021,S291,243,243,1,E2409
D0021,B1897,247,255,-1,E2409
D0022,S299,229,229,3,E2447
D0022,B3343,236,246,-3,E2447
D0023,S283,212,212,3,E2378
D0023,B3343,218,228,-3,E2378
D0024,S348,252,252,1,E2747
D0017,B2277,311,320,-2,E1582
D0025,S331,248,248,3,E2574
D0025,B2032,249,259,-3,E2574
D0026,S331,570,570,1,E2572
D0026,B8844,629,639,-3,E1611
D0027,S143,482,482,1,E1608
D0027,B5905,483,491,-1,E1608
D0028,S299,243,243,7,E2448
D0028,B0813,259,272,-7,E2448
D0029,S283,372,372,2,E2380
D0029,B9159,374,383,-2,E2380
D0030,S331,542,542,2,E2575
D0047,S363,378,378,3,E2799
D0031,S275,320,320,2,E2347
D0031,B1897,325,334,-2,E2347
D0032,S283,484,484,2,E2379
D0032,B5634,488,497,-2,E2379
D0033,S348,304,304,1,E2748
D0033,B2194,307,315,-1,E2748
D0034,S146,251,251,1,E1616
D0034,B5905,251,259,-1,E1616
D0035,S139,553,553,2,E1583
D0035,B2277,554,563,-2,E1583
D0036,S331,617,617,1,E2581
D0036,B0869,618,626,-1,E2581
D0037,S283,212,212,3,E2378
D0037,B3343,218,228,-3,E2378
D0038,S143,236,236,3,E1609
D0038,B6472,238,248,-3,E1609
D0039,S291,550,550,4,E2410
D0039,B9159,552,563,-4,E2410
D0040,S331,570,570,1,E2572
D0040,B1553,571,579,-1,E2572
D0041,S210,499,499,1,E1913
D0041,B5736,499,507,-1,E1913
D0042,S331,617,617,1,E2581
D0042,B0869,618,626,-1,E2581
D0043,S146,614,614,2,E1617
D0043,B5905,614,623,-2,E1617
D0044,S299,229,229,3,E2447
D0044,B3343,236,246,-3,E2447
D0045,S360,292,292,17,E2786
D0045,B0439,296,313,-17,E2786
D0046,S348,272,272,2,E2746
D0046,B2032,275,284,-2,E2746
D0047,S363,378,378,3,E2799
D0047,B5190,381,391,-3,E2799
D0001,S601,597,597,1,E4241
D0001,B3354,601,609,-1,E4241
D0002,S603,603,603,1,E4265
D0002,B6884,609,617,-1,E4265
D0003,S598,533,533,2,E4197
D0003,B9188,534,543,-2,E4197
D0004,S597,249,249,3,E4191
D0004,B4764,250,260,-3,E4191
D0005,S598,532,532,3,E4198
D0005,B0996,534,544,-3,E4198
D0006,S567,500,500,1,E3953
D0006,B2350,500,508,-1,E3953
D0007,S546,346,346,5,E3864
D0007,B6979,354,366,-5,E3864
D0008,S570,610,610,1,E3963
D0008,B4593,615,623,-1,E3963
D0009,S597,256,256,3,E4192
D0009,B6520,264,274,-3,E4192
D0010,S600,299,299,2,E4236
D0010,B6884,303,312,-2,E4236
D0011,S532,317,317,3,E3809
D0011,B3227,318,328,-3,E3809
D0012,S552,611,611,2,E3883
D0012,B3074,615,624,-2,E3883
D0013,S597,628,628,2,E4178
D0013,B2415,631,640,-2,E4178
D0014,S605,599,599,12,E4275
D0014,B1468,601,616,-12,E4275
D0015,S565,315,315,3,E3946
D0015,B6389,316,326,-3,E3946
D0016,S570,458,458,1,E3962
D0016,B2350,459,467,-1,E3962
D0017,S560,281,281,1,E3936
D0017,B5599,282,290,-1,E3936
D0018,S603,600,600,1,E4260
D0018,B4409,600,608,-1,E4260
D0019,S597,433,433,2,E4177
D0019,B2415,436,445,-2,E4177
D0020,S605,224,224,10,E4288
D0020,B3354,228,242,-10,E4288
D0021,S600,584,584,1,E4218
D0021,B2521,585,593,-1,E4218
D0022,S602,403,403,4,E4248
D0022,B2025,412,423,-4,E4248
D0023,S540,376,376,1,E3847
D0023,B0855,380,388,-1,E3847
D0024,S599,604,604,1,E4203
D0024,B4409,605,613,-1,E4203
D0025,S599,554,554,1,E4201
D0025,B4409,555,563,-1,E4201
D0026,S603,624,624,2,E4266
D0026,B6884,630,639,-2,E4266
D0027,S546,486,486,5,E3860
D0027,B1372,489,501,-5,E3860
D0028,S605,485,485,14,E4303
D0028,B4742,490,506,-14,E4303
D0029,S568,622,622,2,E3957
D0029,B1008,634,643,-2,E3957
D0030,S532,281,281,2,E3812
D0030,B3789,282,291,-2,E3812
D0031,S605,237,237,10,E4271
D0031,B1433,244,258,-10,E4271
D0032,S600,225,225,1,E4232
D0032,B6884,229,237,-1,E4232
D0033,S605,532,532,12,E4281
D0033,B2521,532,547,-12,E4281
D0034,S600,389,389,2,E4237
D0034,B6884,393,402,-2,E4237
D0035,S597,258,258,1,E4184
D0035,B4409,262,270,-1,E4184
D0036,S597,385,385,2,E4187
D0036,B4409,389,398,-2,E4187
D0037,S552,249,249,2,E3886
D0037,B7340,255,264,-2,E3886
D0038,S597,276,276,2,E4185
D0038,B4409,280,289,-2,E4185
D0039,S570,267,267,2,E3961
D0039,B2350,268,277,-2,E3961
D0040,S562,477,477,1,E3940
D0040,B1158,482,490,-1,E3940
D0041,S569,625,625,2,E3958
D0041,B3516,632,641,-2,E3958
D0042,S602,265,265,3,E4249
D0042,B3354,269,279,-3,E4249
D0043,S566,531,531,1,E3947
D0043,B2441,539,547,-1,E3947
D0044,S600,295,295,3,E4229
D0044,B4409,302,312,-3,E4229
D0045,S567,338,338,1,E3952
D0045,B2350,338,346,-1,E3952
D0046,S605,245,245,1,E4304
D0046,B4764,247,255,-1,E4304
D0047,S597,539,539,2,E4188
D0047,B4409,543,552,-2,E4188
D0048,S567,525,525,1,E3954
D0048,B2350,525,533,-1,E3954
D0049,S603,616,616,3,E4256
